日期,身份別,多方交易口數,多方交易契約金額(百萬元),空方交易口數,空方交易契約金額(百萬元),多空交易口數淨額,多空交易契約金額淨額(百萬元),多方未平倉口數,多方未平倉契約金額(百萬元),空方未平倉口數,空方未平倉契約金額(百萬元),多空未平倉口數淨額,多空未平倉契約金額淨額(百萬元)
"2015/10/30",投信,560,558,687,862,-127,-304,7175,5517,11353,17320,-4178,-11802
"2015/10/30",外資及陸資,150192,90444,152678,85319,-2486,5125,236331,72870,201540,35110,34791,37761
"2015/11/2",自營商,289097,34320,288405,32614,692,1706,246789,18849,295976,26421,-49187,-7572
"2015/11/2",投信,300,319,607,445,-307,-126,7246,5551,11746,17512,-4500,-11960
"2015/11/2",外資及陸資,116023,67734,113471,65991,2552,1743,239704,74371,202887,34952,36817,39419
"2015/11/3",自營商,397652,45092,371933,45640,25719,-548,281622,19847,305358,28227,-23736,-8380
"2015/11/3",投信,592,770,336,392,256,378,7330,5745,11616,17516,-4286,-11771
"2015/11/3",外資及陸資,121890,72592,121802,65501,88,7091,245501,79209,209164,31897,36337,47312
"2015/11/4",自營商,677353,65304,669304,60729,8049,4575,235796,23578,266012,27689,-30216,-4112
"2015/11/4",投信,1095,834,607,754,488,80,7279,5853,11230,17751,-3951,-11899
"2015/11/4",外資及陸資,187803,100343,200043,105452,-12240,-5109,239804,80627,211262,37041,28542,43586
"2015/11/5",自營商,283056,29452,300597,29732,-17541,-280,258300,22489,305778,26910,-47478,-4421
"2015/11/5",投信,401,487,494,644,-93,-157,7352,5883,11366,17915,-4014,-12032
"2015/11/5",外資及陸資,99333,61289,109368,66708,-10035,-5419,239844,76171,221025,38110,18819,38061
"2015/11/6",自營商,660445,66053,675197,67494,-14752,-1441,314715,25315,376514,31202,-61799,-5886
"2015/11/6",投信,480,554,1206,1544,-726,-990,7175,5475,11801,18227,-4626,-12752
"2015/11/6",外資及陸資,202642,112953,207499,123647,-4857,-10694,248323,70700,233093,44017,15230,26683
"2015/11/9",自營商,621108,57708,637054,57145,-15946,563,325002,26948,402914,32189,-77912,-5241
"2015/11/9",投信,552,572,777,1126,-225,-554,7090,5243,12025,18451,-4935,-13208
"2015/11/9",外資及陸資,211884,104717,209112,103574,2772,1143,251775,69548,234310,42231,17465,27317
"2015/11/10",自營商,487878,46974,513861,47189,-25983,-215,350073,30471,454170,35939,-104097,-5468
"2015/11/10",投信,660,468,1183,1294,-523,-826,6951,4929,12409,18813,-5458,-13883
"2015/11/10",外資及陸資,163219,79547,159395,82212,3824,-2665,258266,65510,237098,41436,21168,24074
"2015/11/11",自營商,739830,70657,786681,69670,-46851,987,267000,31171,359398,35449,-92398,-4278
"2015/11/11",投信,889,692,1342,1290,-453,-598,6771,4766,12660,18984,-5889,-14218
"2015/11/11",外資及陸資,203817,103982,212989,106695,-9172,-2713,258695,65234,244024,44694,14671,20541
"2015/11/12",自營商,374247,48920,395130,44548,-20883,4372,269006,32511,382354,32231,-113348,281
"2015/11/12",投信,2981,4073,3083,4363,-102,-290,6833,4720,12830,19376,-5997,-14656
"2015/11/12",外資及陸資,163735,94225,161334,88699,2401,5526,264508,67521,247923,41055,16585,26466
"2015/11/13",自營商,471232,59668,481482,65390,-10250,-5722,275027,30412,398341,35781,-123314,-5369
"2015/11/13",投信,3528,5048,3603,5086,-75,-38,6735,4612,12906,19134,-6171,-14522
"2015/11/13",外資及陸資,204360,114232,213274,117718,-8914,-3486,270236,68355,262565,45940,7671,22415
"2015/11/16",自營商,422790,55814,452927,54429,-30137,1385,266982,33517,420619,37446,-153637,-3929
"2015/11/16",投信,4642,6966,4885,6963,-243,3,6797,4600,13190,18997,-6393,-14397
"2015/11/16",外資及陸資,197196,108809,186700,102865,10496,5944,277095,71023,258911,42251,18184,28771
"2015/11/17",自營商,564928,78832,529453,76677,35475,2155,290615,32303,408868,34162,-118253,-1859
"2015/11/17",投信,6497,7499,6090,6805,407,694,6895,4727,12926,18696,-6031,-13969
"2015/11/17",外資及陸資,217486,120959,219020,118612,-1534,2347,281746,80522,265892,49407,15854,31115
"2015/11/18",自營商,516413,68987,533760,71838,-17347,-2851,137095,11959,173865,19148,-36770,-7189
"2015/11/18",投信,2316,1508,2383,1750,-67,-242,6585,4616,12573,18543,-5988,-13926
"2015/11/18",外資及陸資,146561,78284,154469,85622,-7908,-7338,208195,59439,177555,32606,30640,26834
"2015/11/19",自營商,369345,47588,363666,43429,5679,4159,176434,15673,207196,18841,-30762,-3168
"2015/11/19",投信,1118,1406,454,485,664,921,6960,5110,12278,18385,-5318,-13275
"2015/11/19",外資及陸資,158588,94201,156369,87847,2219,6354,214553,62542,182776,28558,31777,33984
"2015/11/20",自營商,300656,34551,306418,34782,-5762,-231,197106,16539,233540,19933,-36434,-3395
"2015/11/20",投信,441,417,341,304,100,113,6973,5171,12287,18327,-5314,-13157
"2015/11/20",外資及陸資,112873,60396,114918,64612,-2045,-4216,219238,60568,189094,30818,30144,29750
"2015/11/23",自營商,312317,37351,311950,35469,367,1882,227518,19316,263348,20852,-35830,-1536
"2015/11/23",投信,543,610,449,501,94,109,7061,5242,12277,18352,-5216,-13109
"2015/11/23",外資及陸資,126833,70991,125968,69686,865,1305,225915,63541,195345,33146,30570,30395
"2015/11/24",自營商,463065,51210,453970,56722,9095,-5512,258292,18720,284888,25573,-26596,-6853
"2015/11/24",投信,585,475,739,875,-154,-400,7087,5147,12472,18529,-5385,-13382
"2015/11/24",外資及陸資,174219,84931,170220,83596,3999,1335,235142,63950,200303,32543,34839,31407
"2015/11/25",自營商,478135,45404,489755,44865,-11620,539,203550,16479,230167,22822,-26617,-6343
"2015/11/25",投信,373,235,527,552,-154,-317,6810,4982,12527,18651,-5717,-13670
"2015/11/25",外資及陸資,140235,77480,144605,75417,-4370,2063,233129,63813,200070,30210,33059,33603
