日期,身份別,多方交易口數,多方交易契約金額(百萬元),空方交易口數,空方交易契約金額(百萬元),多空交易口數淨額,多空交易契約金額淨額(百萬元),多方未平倉口數,多方未平倉契約金額(百萬元),空方未平倉口數,空方未平倉契約金額(百萬元),多空未平倉口數淨額,多空未平倉契約金額淨額(百萬元)
"2018/3/19",自營商,300018,67520,285224,69337,14794,-1817,442448,42612,426165,53473,16283,-10861
"2018/3/19",投信,17178,34866,17555,35657,-377,-791,5082,4742,40087,74266,-35005,-69524
"2018/3/19",外資及陸資,218789,218292,220359,214496,-1570,3796,363326,184153,402088,84218,-38762,99935
"2018/3/20",自營商,273405,56085,287910,54714,-14505,1371,442297,45653,440405,55110,1892,-9457
"2018/3/20",投信,15807,26241,15779,26293,28,-52,5022,4610,39999,74077,-34977,-69467
"2018/3/20",外資及陸資,241905,214774,241795,214162,110,612,378051,196787,416703,96419,-38652,100368
"2018/3/21",自營商,453924,78067,450698,79421,3226,-1354,223313,28927,227181,44677,-3868,-15750
"2018/3/21",投信,1461,930,2640,632,-1179,298,5002,4598,39147,73874,-34145,-69276
"2018/3/21",外資及陸資,213178,126671,214052,126858,-874,-187,216872,159618,197053,60688,19819,98929
"2018/3/22",自營商,367907,63595,356646,65942,11261,-2347,272795,29025,265512,47077,7283,-18052
"2018/3/22",投信,173,366,1894,2171,-1721,-1805,5044,4664,40910,75664,-35866,-71000
"2018/3/22",外資及陸資,256805,186346,265573,184397,-8768,1949,239256,158885,228206,58125,11050,100760
"2018/3/23",自營商,390053,68425,403112,70234,-13059,-1809,329692,32081,335458,51269,-5766,-19188
"2018/3/23",投信,989,488,1547,3323,-558,-2835,5131,4406,41555,76590,-36424,-72184
"2018/3/23",外資及陸資,352567,232956,350155,235025,2412,-2069,259299,159975,245834,63714,13465,96261
"2018/3/26",自營商,331076,57831,348248,53772,-17172,4059,341246,31673,364913,47122,-23667,-15450
"2018/3/26",投信,153,330,623,864,-470,-534,5176,4541,42070,77973,-36894,-73432
"2018/3/26",外資及陸資,262133,201574,267000,193627,-4867,7947,259495,166291,250714,60929,8781,105362
"2018/3/27",自營商,435836,58925,411141,58895,24695,30,368376,34202,367971,49917,405,-15714
"2018/3/27",投信,918,1991,168,122,750,1869,5212,4680,41356,77247,-36144,-72567
"2018/3/27",外資及陸資,256098,176288,268848,180105,-12750,-3817,263279,165089,267020,61944,-3741,103145
"2018/3/28",自營商,465838,63652,479893,68017,-14055,-4365,298107,28779,290995,48418,7112,-19639
"2018/3/28",投信,512,36,1178,1685,-666,-1649,5113,4424,39899,77506,-34786,-73082
"2018/3/28",外資及陸資,278225,180000,289522,192208,-11297,-12208,254728,160563,269633,71342,-14905,89221
"2018/3/29",自營商,248267,48934,251181,48116,-2914,818,327009,29280,322963,48193,4046,-18912
"2018/3/29",投信,102,221,334,382,-232,-161,4953,4383,39971,77760,-35018,-73377
"2018/3/29",外資及陸資,232760,210731,245003,208004,-12243,2727,258479,159903,285588,67777,-27109,92126
"2018/3/30",自營商,253430,43811,228951,45955,24479,-2144,354516,29770,325942,51019,28574,-21248
"2018/3/30",投信,650,1420,140,306,510,1114,4990,4494,39498,77291,-34508,-72797
"2018/3/30",外資及陸資,177538,139413,171048,125578,6490,13835,273568,167108,294217,60392,-20649,106716
"2018/3/31",自營商,120176,14724,123387,15837,-3211,-1113,362361,29105,337071,51467,25290,-22362
"2018/3/31",投信,29,63,950,5,-921,58,4993,4504,40422,77284,-35429,-72780
"2018/3/31",外資及陸資,19927,8495,20005,8448,-78,47,274721,168042,295448,61205,-20727,106837
"2018/4/2",自營商,201112,41334,204553,41436,-3441,-102,370792,28269,349350,50595,21442,-22327
"2018/4/2",投信,208,452,1439,1068,-1231,-616,4943,4368,41603,77350,-36660,-72983
"2018/4/2",外資及陸資,164091,126415,166657,126813,-2566,-398,280511,166790,303377,61016,-22866,105774
"2018/4/3",自營商,258511,47207,284941,47517,-26430,-310,369175,29150,374588,51590,-5413,-22439
"2018/4/3",投信,810,423,741,1598,69,-1175,5042,4512,41633,78123,-36591,-73611
"2018/4/3",外資及陸資,251294,187306,263106,193112,-11812,-5806,282740,164575,316859,65439,-34119,99136
"2018/4/9",自營商,496552,68032,467443,62126,29109,5906,332369,32585,329518,49420,2851,-16835
"2018/4/9",投信,1889,3306,528,314,1361,2992,5030,4554,40260,75993,-35230,-71439
"2018/4/9",外資及陸資,281156,204056,277526,194977,3630,9079,275356,170926,293108,61359,-17752,109567
"2018/4/10",自營商,427724,66766,413464,68703,14260,-1937,373875,32715,356406,51583,17469,-18869
"2018/4/10",投信,1549,3390,89,195,1460,3195,5100,4733,38870,73267,-33770,-68534
"2018/4/10",外資及陸資,254780,199394,262181,199780,-7401,-386,283917,173019,308728,63383,-24811,109637
"2018/4/11",自營商,455557,57751,432803,50380,22754,7371,344479,36514,328144,48068,16335,-11554
"2018/4/11",投信,2779,1905,124,235,2655,1670,5026,4595,36141,71637,-31115,-67042
"2018/4/11",外資及陸資,228199,144561,247239,146883,-19040,-2322,292411,172939,331628,65314,-39217,107624
"2018/4/12",自營商,257319,54740,276621,51878,-19302,2862,352088,36264,355106,44946,-3018,-8682
"2018/4/12",投信,2872,5194,2048,3384,824,1810,4995,4510,35286,69525,-30291,-65015
"2018/4/12",外資及陸資,196157,157131,222986,173373,-26829,-16242,283387,156859,349364,65832,-65977,91027
"2018/4/13",自營商,247899,49323,230579,48129,17320,1194,373322,40606,358301,48153,15021,-7547
"2018/4/13",投信,6298,12714,5078,10024,1220,2690,5006,4538,34077,66960,-29071,-62422
"2018/4/13",外資及陸資,179103,152127,178358,147119,745,5008,293839,164638,359071,68429,-65232,96209
"2018/4/16",自營商,251708,57077,267765,56395,-16057,682,378523,41531,379214,48411,-691,-6879
"2018/4/16",投信,17899,35659,17596,34920,303,739,4979,4495,33747,66098,-28768,-61602
"2018/4/16",外資及陸資,226957,236080,233899,241150,-6942,-5070,294946,164875,367114,73840,-72168,91035
"2018/4/17",自營商,424980,85339,452537,94701,-27557,-9362,377453,34871,405217,50810,-27764,-15939
"2018/4/17",投信,13624,21584,14221,23559,-597,-1975,5233,4274,34599,67081,-29366,-62808
"2018/4/17",外資及陸資,264282,205793,266859,217184,-2577,-11391,298593,159502,373167,80944,-74574,78559
